step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
35,,,,,0.3351601502217818,0.0014563559637643664,0.7159179449081421,2.681640625,1.6845703125,5954.5537109375,76.6476201171875,5954.5537109375,,435.67635603199597,84.92993981498876,18205.17319527961
36,,,,,0.3343130236860361,0.0014367589611836706,0.6908203363418579,2.642578125,1.64453125,6994.9677734375,90.5648818359375,6994.9677734375,,338.06055312999524,1.296140527992975,23059.46373523036
37,,,,,0.3172927636105669,0.0015546588366674996,0.77392578125,2.8662109375,1.8701171875,6779.09375,89.790552734375,6779.09375,,327.69413230899954,1.469869346008636,23126.11293373536
38,,,,,0.329175656364896,0.0017321571861046436,0.7762695550918579,2.5078125,1.5078125,5749.3837890625,70.4303759765625,5749.3837890625,,384.31549025001004,97.79128492600285,16939.42012884437
39,,,,,0.34663116920251014,0.0018823975850068564,0.7279297113418579,2.830078125,1.8359375,6604.3623046875,84.582521484375,6604.3623046875,,366.01522099698195,45.669109457026934,20234.811040757937
40,,,,0.7666666507720947,0.3388970402943414,0.002110282013333631,0.7732422351837158,2.8203125,1.8251953125,6220.140625,77.94112695312499,6220.140625,204.31782443699194,639.1075951969833,66.30168044398306,18867.94460685737
41,,,,,0.3384201419457895,0.0021554146710514033,0.7390625476837158,2.8369140625,1.837890625,6562.4638671875,83.263,6562.4638671875,,319.00004948000424,4.545352112996625,23041.03018693366
42,,,,,0.3444526348907857,0.001411326762404741,0.7805664539337158,3.7666015625,2.7705078125,6838.6630859375,89.0205732421875,6838.6630859375,,365.5050747630012,34.830629722971935,21125.017599683502
43,,,,,0.3170440121930369,0.0013552836139893998,0.7789062261581421,3.810546875,2.81640625,6512.720703125,86.039755859375,6512.720703125,,396.44920514299884,71.38141444997746,18840.822408046984
44,,,,,0.36431996047622306,0.0015888535147787763,0.7311522960662842,3.837890625,2.857421875,7021.9228515625,91.890990234375,7021.9228515625,,396.6536764240009,51.82809425899177,20027.75435568791
45,,,,,0.33153044171558577,0.001468760556484483,0.820507824420929,4.1337890625,3.13671875,6577.580078125,83.85939453125,6577.580078125,,459.90012890298385,72.13829548703507,18789.11955087937
46,,,,,0.3491364626734139,0.001552192147883602,0.7994140386581421,3.6142578125,2.6240234375,6543.138671875,83.78762890625,6543.138671875,,375.1016014320194,63.07058451100602,19704.851973913752
47,,,,,0.3514664960639493,0.0016462980051556997,0.7074218988418579,3.9453125,2.9521484375,7399.1923828125,98.5327880859375,7399.1923828125,,359.6517219270172,1.8626591479987837,23081.22397206804
48,,,,,0.33013960965172373,0.001709568016892149,0.7837890982627869,4.462890625,3.4853515625,6441.0498046875,83.770662109375,6441.0498046875,,385.7606364809908,66.14060806698399,19200.27964418764
49,,,,,0.33614023081918276,0.001763121488625785,0.7132812738418579,3.884765625,2.89453125,6442.48046875,83.3169345703125,6442.48046875,,392.383376673999,76.8315714210039,18612.21749695437
50,,,,0.7708333134651184,0.3515714868717623,0.0018590958627413556,0.756542980670929,4.1962890625,3.2041015625,6668.66015625,87.8904375,6668.66015625,213.8049860970059,622.1910615499946,13.68999048601836,21915.453892106936
51,,,,,0.31221023213856824,0.0019361386161662608,0.7780272960662842,4.3515625,3.357421875,5978.3095703125,75.557634765625,5978.3095703125,,300.42908691300545,2.014429502974963,23127.087018864117
52,,,,,0.340744521947272,0.0014223353269962047,0.79736328125,4.982421875,4.0048828125,5746.9169921875,70.818646484375,5746.9169921875,,403.9143559410004,111.74735337498714,16570.20529144481
53,,,,,0.34531928583010085,0.001454481455283485,0.788867175579071,4.962890625,3.9794921875,6784.83984375,91.2379423828125,6784.83984375,,389.8355069089739,54.96181159900152,19973.71977527359
