step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
75,2.1898816876925276,0.3966278579474552,,,0.30229037106528267,0.0015252185336613877,0.7941405773162842,6.8798828125,5.923828125,6286.7216796875,49.259353515625,6286.7216796875,,844.0015787021257,3.846040708012879,9508.905628015627
76,2.0555367281491606,0.3518473258839902,,,0.2925356561308945,0.0014808093770319886,0.791015625,6.900390625,5.9580078125,5895.3115234375,44.2900654296875,5895.3115234375,,784.843358032871,2.9464395721442997,8786.468740054965
77,2.1689083819666077,0.3896366585801416,,,0.2929840312476699,0.001481625645521234,0.7814452648162842,7.7939453125,6.8828125,6723.908203125,53.042126953125,6723.908203125,,799.743358287029,3.33374275197275,9840.456819831037
78,2.1678587927827797,0.389286809619267,,,0.2998684946355752,0.0015781817896254324,0.8149413466453552,7.4921875,6.55859375,6265.5302734375,49.0201494140625,6265.5302734375,,790.8266783410218,3.218765943311155,9268.095522382839
79,2.1410522263345317,0.38035139947858804,,,0.28523430817222106,0.0015640476392171365,0.783203125,7.875,6.9345703125,6565.7041015625,51.0962021484375,6565.7041015625,,796.0296334170271,4.791970283957198,9831.762943726437
80,2.116438271198506,0.3721479054342832,,0.7875000238418579,0.2941484926714111,0.0015974791236956776,0.79345703125,7.744140625,6.8232421875,6614.2998046875,51.370837890625,6614.2998046875,156.66965832095593,1038.4470652409364,4.609032559208572,9852.919819809038
81,2.0311550631410658,0.3437195828107012,,,0.31574403880063073,0.0017174486196154248,0.7735351324081421,7.5625,6.6259765625,6738.03515625,52.6838037109375,6738.03515625,,789.4128615860827,3.6847560598980635,9978.069690777773
82,2.119266462481809,0.3730895160341935,,,0.2988165203191784,0.0014471676584317805,0.8216797113418579,7.923828125,6.994140625,6642.044921875,51.1305751953125,6642.044921875,,800.7384429580998,4.396356213837862,9722.839490310305
83,2.1481422912254318,0.3827165304991846,,,0.31180782939372875,0.0014771286039554354,0.8018554449081421,8.3828125,7.466796875,6861.4443359375,54.7333828125,6861.4443359375,,803.0565931829624,4.747071789111942,9935.741156051698
84,2.1195510067538854,0.3731852434965323,,,0.297445914988657,0.0014521029093224058,0.7936522960662842,8.056640625,7.1201171875,6864.3095703125,53.9595673828125,6864.3095703125,,796.625125068007,3.540060671977699,10082.286664976014
