step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
29,1,0,,,0.28643772941836687,0.0017065932326119082,0.6861328482627869,2.0009765625,1.0029296875,7096.72265625,91.7992353515625,2.0009765625,48.02634093542243,0.031445516903330875,4.436631570570171e-06,7096.72265625,,337.9435966250021,2.1036077979952097,23149.578381452426
30,1,0,,0.7041666507720947,0.3039358166524835,0.001878936948365606,0.674609363079071,1.98046875,0.984375,7196.77734375,95.6239345703125,1.98046875,43.78985278830793,0.031243005891261805,4.288464922698993e-06,7196.77734375,187.9143938929774,633.5130000510253,1.0915402681566775,23435.36347995694
31,1,0,,,0.3111055250992649,0.002166731717835546,0.71728515625,1.87890625,0.87890625,6394.4619140625,82.72619433593749,1.87890625,35.18485460928296,0.037339633420572206,4.4291999504881475e-06,6394.4619140625,,404.215364031028,68.42032917309552,17550.845901692013
32,1,0,,,0.31406230928359946,0.001367011899972681,0.710644543170929,2.47265625,1.4775390625,6788.3330078125,86.0733505859375,2.47265625,27.86599951461251,0.03218020892223796,2.6013724891854834e-05,6788.3330078125,,341.43423717818223,1.2251636390574276,22087.383083842175
33,1,0,,,0.29237025262023053,0.0013405691123542507,0.7352539300918579,2.7099609375,1.7138671875,6072.7685546875,76.1172265625,2.7099609375,23.474758980693437,0.03129672883392974,4.370173869224695e-06,6072.7685546875,,317.2406303039752,8.063687505898997,21547.446778166464
34,1,0,,,0.3054666174994054,0.0014712070935551935,0.6833984851837158,2.6025390625,1.60546875,5239.98828125,61.630794921875,2.6025390625,27.272096973970037,0.03020453577423026,4.348236818006029e-06,5239.98828125,,318.5655794790946,54.61075857980177,18677.680499736634
35,1,0,,,0.31128020155892955,0.0015842682570550437,0.71728515625,2.5302734375,1.5322265625,5628.96875,69.540240234375,2.5302734375,34.314226064104645,0.03267033923646971,4.497561202823766e-06,5628.96875,,423.2036211488303,78.74659409909509,17535.23967010413
36,1,0,,,0.30975559613148107,0.0015407919878125398,0.68359375,2.4951171875,1.4970703125,6677.6513671875,86.2052333984375,2.4951171875,31.52858527119954,0.03114264007222825,4.2582254966514745e-06,6677.6513671875,,330.11254688189365,1.2803343660198152,22504.32862055452
37,1,0,,,0.28948557803005315,0.0016417098430423493,0.7551758289337158,2.6201171875,1.623046875,6433.09375,83.1973212890625,2.6201171875,26.068548576901232,0.03140894837417961,4.369491573955762e-06,6433.09375,,331.28663223492913,9.620432937052101,21690.158795700114
38,1,0,,,0.30316730555841787,0.0018316503603088563,0.778515636920929,2.4111328125,1.412109375,5429.9619140625,63.3656357421875,2.4111328125,29.194056023304984,0.032606548442147894,4.424034734686143e-06,5429.9619140625,,365.15745485620573,86.49096401501447,16838.796780517587
39,1,0,,,0.3136352465148775,0.0019044727329315947,0.7124999761581421,2.646484375,1.65234375,6192.671875,77.8656337890625,2.646484375,28.773295775231762,0.031449205893682365,4.5017666830602336e-06,6192.671875,,351.1461657360196,38.57631585607305,19826.589942363902
40,1,0,,0.7479166388511658,0.30996399698551613,0.002100040876314324,0.7577148675918579,2.53515625,1.537109375,5959.470703125,73.5034697265625,2.53515625,29.337354794597573,0.03172160238119903,4.430156022733934e-06,5959.470703125,193.13114676298574,616.7799765269738,43.131281255045906,19465.174241493503
41,1,0,,,0.31141675337767083,0.002148292366129567,0.723925769329071,2.6103515625,1.611328125,6122.47265625,77.17402636718751,2.6103515625,23.71657843329912,0.04810151534679327,2.679911576908155e-05,6122.47265625,,321.29024946992286,21.72371734911576,21341.25927741132
42,1,0,,,0.31817852525637136,0.0014102711485062258,0.758593738079071,3.1669921875,2.16796875,6127.740234375,75.403921875,3.1669921875,23.243603289685048,0.03442889739050345,4.358299525152326e-06,6127.740234375,,374.2271894949954,63.02717244718224,18429.982637750665
43,1,0,,,0.2834658147967275,0.001318349705854871,0.77685546875,3.357421875,2.3623046875,6118.0556640625,78.7838154296875,3.357421875,23.073663032963292,0.03360425299236539,2.0504362211101247e-05,6118.0556640625,,398.5913881030865,85.16661256505176,17493.715242103506
44,1,0,,,0.32739166118540197,0.0014480279906265991,0.7120116949081421,3.5615234375,2.5859375,6564.5146484375,82.9879365234375,3.5625,21.91054126844188,0.03266959402866814,4.2144800962515254e-06,6564.5146484375,,396.0448292400688,64.63685982907191,18750.960758607423
45,1,0,,,0.29668733092557886,0.0014097430319548465,0.7912108898162842,3.478515625,2.482421875,6176.4609375,76.955314453125,3.478515625,23.608030157981503,0.03547500240718853,4.635514878131316e-06,6176.4609375,,424.98336919094436,46.974131788127124,19190.72248558283
